fps,region,Gender,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
18,Moquegua,Hombres,47.9,45.1,48.3,46.8,52.7,56.9,59.3,63.0,71.7,78.8,81.5
19,Pasco,Total,29.4,23.8,27.5,27.6,33.9,37.2,36.4,40.2,51.9,63.3,68.8
19,Pasco,Mujeres,25.3,22.4,23.9,23.8,30.3,32.2,31.8,35.5,49.1,61.3,67.5
19,Pasco,Hombres,33.1,25.1,30.6,30.9,37.0,41.3,40.3,44.4,54.3,65.0,69.9
20,Piura,Total,26.3,28.7,30.9,31.8,35.4,40.0,47.1,53.5,65.1,72.0,72.5
20,Piura,Mujeres,24.5,25.7,28.3,28.5,33.0,36.0,43.2,51.0,61.9,70.2,71.2
20,Piura,Hombres,28.1,31.8,33.4,35.0,37.8,43.8,50.9,55.8,68.2,73.9,73.7
21,Puno,Total,28.0,28.0,30.0,29.7,32.0,32.6,37.0,40.1,54.3,66.2,62.6
21,Puno,Mujeres,22.2,22.0,25.2,23.9,26.5,28.9,32.9,34.2,49.0,62.6,57.5
21,Puno,Hombres,33.8,33.8,34.6,35.4,37.4,36.4,41.0,45.8,59.6,69.8,67.5
22,San Martín,Total,22.8,23.6,22.9,22.6,30.2,32.4,35.5,41.6,49.5,63.3,63.4
22,San Martín,Mujeres,20.5,21.7,21.0,20.4,26.5,31.1,32.3,37.5,47.9,62.7,62.5
22,San Martín,Hombres,24.7,25.1,24.5,24.3,33.2,33.5,38.2,45.0,50.9,63.7,64.1
23,Tacna,Total,46.6,47.2,46.1,46.8,52.1,55.2,62.1,68.5,74.1,78.0,79.9
23,Tacna,Mujeres,41.3,42.2,41.3,41.3,48.1,51.4,58.9,66.4,71.6,75.7,77.4
23,Tacna,Hombres,51.5,51.9,50.6,51.9,55.8,58.7,65.1,70.5,76.5,80.1,82.4
24,Tumbes,Total,35.9,38.2,42.0,46.9,50.1,54.0,61.0,64.5,68.7,73.4,77.3
24,Tumbes,Mujeres,31.9,35.1,39.1,43.6,48.4,53.1,61.6,64.0,67.5,73.6,77.6
24,Tumbes,Hombres,39.3,40.7,44.6,49.6,51.6,54.8,60.6,64.9,69.8,73.2,77.1
25,Ucayali,Total,25.0,26.4,28.1,31.3,36.9,41.8,46.2,49.7,55.0,61.9,62.2
25,Ucayali,Mujeres,20.6,21.3,23.8,27.8,33.3,40.1,43.7,48.0,53.7,61.7,60.5
25,Ucayali,Hombres,28.7,30.6,31.8,34.2,40.0,43.2,48.3,51.2,56.1,62.1,63.6
